superb-body,C,2
clumsy-behavior,A,4
draconian-lace,A,5
used-shoe,B,1
aquatic-kettle,D,5
sulky-woman,B,3
mushy-iron,C,3
tasty-brass,B,1
wasteful-sleep,A,5
labored-step,D,4
well-to-do-elbow,A,5
spotted-group,C,5
beautiful-ticket,B,1
rightful-pizzas,B,3
common-harbor,A,1
dispensable-hill,A,1
imaginary-metal,B,5
mute-train,D,4
obeisant-tin,A,5
past-sheet,B,3
lacking-tent,B,2
gullible-breath,A,5
stimulating-birds,B,4
cluttered-family,A,2
old-brush,D,5
ossified-spring,D,5
snobbish-wheel,A,5
damaging-place,B,3
exuberant-hope,B,2
languid-advertisement,B,5
straight-owner,B,4
determined-shake,D,5
complete-partner,C,5
faithful-sheet,C,3
one-mark,B,2
berserk-toe,B,1
pumped-animal,C,5
divergent-sidewalk,B,4
numerous-discussion,C,3
amusing-line,B,4
healthy-hammer,A,4
flimsy-jewel,B,3
auspicious-uncle,A,4
ashamed-stamp,A,2
diligent-trouble,B,5
diligent-prose,B,5
obsolete-sign,C,1
alike-attraction,C,2
useless-drop,B,5
macabre-trade,C,2
blue-airplane,A,1
coherent-monkey,B,3
interesting-glue,C,3
amuck-rainstorm,B,3
thankful-cherries,C,1
gentle-existence,B,4
garrulous-zephyr,A,5
nauseating-wing,D,4
detailed-skirt,D,3
freezing-lizards,A,4
oceanic-measure,B,3
eager-clam,B,1
gray-rhythm,A,3
juicy-pin,A,5
broken-hen,B,4
adhesive-salt,B,3
flagrant-babies,D,3
efficient-time,A,4
physical-plastic,D,4
broad-family,B,2
inconclusive-growth,C,2
aggressive-dock,B,1
acoustic-loaf,D,2
jobless-cannon,D,2
jumpy-property,B,4
familiar-pen,A,5
grieving-whistle,A,1
polite-credit,B,3
shivering-ear,B,5
ragged-maid,D,5
giddy-kick,A,1
fluffy-afterthought,D,1
tricky-oil,B,5
ritzy-chain,A,3
skinny-doll,C,3
detailed-man,C,1
true-sheet,C,3
hilarious-line,C,4
strong-skin,B,5
chivalrous-gate,A,1
jobless-rabbits,B,2
abundant-downtown,A,5
flowery-game,C,2
ugly-cook,C,2
obtainable-cushion,B,3
breakable-juice,A,5
annoying-account,B,1
regular-fiction,B,4
nimble-hydrant,D,3
wise-boundary,D,1
near-lace,A,2
lucky-quiver,C,3
muddled-copper,D,2
unbecoming-breath,B,2
uttermost-letter,B,2
steep-waste,C,5
tough-berry,D,2
screeching-death,C,5
creepy-back,C,2
precious-heart,B,4
accidental-afternoon,A,2
hellish-loaf,C,1
delightful-quince,D,3
female-act,D,3
freezing-calendar,C,3
thinkable-sun,D,1
past-airplane,B,3
disgusted-believe,B,5
silly-shade,B,3
happy-walk,D,4
hospitable-destruction,B,3
incandescent-blade,A,1
present-death,D,3
acceptable-desk,B,4
lively-smoke,A,4
nostalgic-egg,D,4
alive-goldfish,D,3
chemical-park,A,3
conscious-word,D,4
omniscient-day,B,4
private-cattle,A,1
ahead-calculator,D,2
befitting-whip,D,1
efficacious-ring,B,5
aquatic-burn,A,1
narrow-fifth,D,5
average-quartz,C,2
pastoral-horse,B,2
accidental-van,D,1
zealous-name,B,5
gamy-clocks,D,2
safe-design,D,5
animated-twig,C,1
embarrassed-lace,D,2
tired-vacation,C,2
industrious-kitty,B,3
trashy-rat,C,5
violet-calculator,D,3
lively-bike,D,3
unused-plane,B,3
embarrassed-tub,C,1
majestic-beds,A,2
learned-truck,D,4
victorious-argument,D,4
industrious-heart,B,4
hoc-basketball,D,5
disillusioned-education,D,2
zonked-sponge,D,1
grateful-chickens,B,4
lean-copper,B,5
cheap-value,D,4
weak-stocking,C,3
hurt-cellar,B,3
green-grip,B,4
giddy-flowers,C,1
wanting-pickle,C,2
young-crow,C,5
fat-cellar,C,5
organic-current,D,3
pumped-smell,A,2
ill-informed-cork,C,4
languid-stem,C,4
smiling-weight,A,4
utter-vase,C,5
uttermost-drain,C,3
rural-recess,B,2
plastic-worm,D,3
puny-nerve,A,4
slimy-pot,B,1
clammy-shape,A,2
testy-stove,D,2
hypnotic-bread,C,1
yummy-twist,A,1
mindless-spy,C,3
bawdy-room,D,4
political-view,A,3
public-skate,B,4
guarded-giants,C,4
hateful-station,C,4
crooked-adjustment,C,5
annoying-sea,B,4
hysterical-magic,B,4
craven-brothers,A,2
private-bird,A,4
mushy-minute,D,2
sad-detail,C,3
grey-donkey,B,3
quack-horses,D,2
true-stick,D,2
short-wheel,C,3
